Frequency (Hz),Channel 1 (dBV),Phase (deg)
55.4,-114.3623405626211,-106.9756315071887
55.6,-117.045247579178,-111.1796015830388
55.8,-118.1462074221466,-11.19309114585252
56,-116.7799579122099,-126.8016682211123
56.2,-116.6915574577703,-124.6702364518145
56.4,-111.8896466476172,108.8963838486481
56.6,-111.8301133111995,80.7416492868321
56.8,-129.7569677385776,-108.5366905316748
57,-119.6294345167938,103.9603785160885
57.2,-114.6823176765014,-80.8191205262637
57.4,-109.5056327111097,0.4744342716087644
57.6,-111.0844996756767,-105.9861372313663
57.8,-111.2860269305853,-179.0018055188841
58,-115.9077599362531,174.9578521254724
58.2,-114.1322567475217,121.0810510268547
58.4,-119.0552242425374,25.62595747926448
58.6,-111.4055594323984,88.27011442855171
58.8,-113.1156310586376,-10.03883812095381
59,-112.252486223595,-90.14370986722246
59.2,-118.1657878243481,-90.53782797332396
59.4,-134.0819910860851,-24.39947751072757
59.6,-108.9476631984471,-64.83970666722531
59.8,-110.4382587632934,-124.045029756669
60,-96.37543203050251,135.1080336038025
60.2,-108.033593584555,34.50722029618279
60.4,-108.7973438366526,-10.4077063489577
60.6,-107.6452509838807,-54.47528822606192
60.8,-114.0305573640574,-130.1740347392849
61,-113.3713741667454,44.01724514941642
61.2,-112.563286867443,-103.7838883997998
61.4,-116.1186166496323,139.2197152444001
61.6,-117.8453838948202,143.4411666150424
61.8,-117.0690227715279,85.25618937200684
62,-118.4143284642824,-90.80008578276882
62.2,-112.7645573497224,89.64426118622519
62.4,-118.0457818396066,-2.987013396242866
62.6,-115.6533277661019,-95.15329783933112
62.8,-117.0004689250583,-8.248414311606682
63,-112.3033292261051,-162.590147150091
63.2,-117.697829775741,52.67834989944569
63.4,-113.7819062592136,-168.8935237145308
63.6,-111.5581927478902,109.4997749509427
63.8,-119.5016467408318,-3.639978633577542
64,-114.6779353798313,-39.93864932984663
64.2,-112.7116413163726,-50.13613618603043
64.40000000000001,-112.4361726371271,162.9571175067608
64.59999999999999,-115.0048230178504,1.075044908498629
